id,title,artist,category,year,youtube_id,channel,verification_status,notes
mar-discovery-ac4d26f43f6a,Chimukala Sansar Majha,Meenaxi,marathi-classics; marathi-film,,-HoaEYYEjhs,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-fce1a607c14f,Kathim Kathim,Chhota Gandharva,natya-sangeet,,-3guqqP2dQE,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-6c8720d35992,Anjanichya Soota,Mahendra Kapoor,marathi-bhakti,,-2C5zSGjtFs,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-natya-014,Chandrika Hi Janu,Sonu Nigam,natya-sangeet,,-GyZ_28MCNE,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,Existing identity repaired. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-4d08ae537863,Raya,Aarya Aambekar,lavani,,-Mg8OQCboYc,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-da0b26ae0007,Mendichya Panavar,Lata Mangeshkar,bhavageet,,-mg5nVPgqOM,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-143c521203b4,Jata Pandharisi,Pt. Bhimsen Joshi,marathi-bhakti,,-QWiUoUeAHI,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-5c180f779e14,Indrayani Kathi,Pt. Bhimsen Joshi,marathi-bhakti,,-WD6I-GoclU,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-5b9482b7e909,Jaguya Mansokta Sare,Rohit Raut,romantic; marathi-film,,-xNLHak9ziA,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-dad1a8ea706f,Chanderi Shela Mazya Bhaurayala,Meenakshi,marathi-classics; marathi-film,,0-pyUqSyTWg,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
